Region,Province,year,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),"GDP(CNY,B)",Growth Rate of GDP(%),Per capita GDP(CNY),"Fixed Asset Investment(CNY,B)","Total Value of Imports and Exports(CNY,B)",Per Capita Disposable Income(CNY),"Industrial Increase Volume(CNY,B)","Budget Revenue(CNY,B)","Budget Expenditure(CNY,B)","Tax Revenue(CNY,B)",Share of Tax Revenue(%),"Revenue of Government-Managed Funds(CNY,B)","Expenditure of Government-Managed Funds(CNY,B)","Issuance（LGFV Bond）(CNY,B)","Net Financing（LGFV Bond）(CNY,B)","Issuance（Non-Standard Financing）(CNY,B)","Net Financing（Non-Standard Financing）(CNY,B)","Issuance(General Bond)(CNY,B)","Net Financing(General Bond)(CNY,B)","Issuance（Special Bond）(CNY,B)","Net Financing（Special Bond）(CNY,B)",Statistical_Division_Code,Province.Code,Annual_Real_Estate_Investment,Annual_Avg_Property_Price
Baise,Guangxi,2018,27.37,37.22616963,68.32,92.47892773,32.20834,32.952,26.5673,117.6773218,7.1,32170,9.086,3.294,30611,NA,8.4723,31.88998,5.09829,60.17598527,4.50716,5.30748,NA,NA,NA,NA,1.66482,-1.03659,3.35508,1.775,451000,450000,3743.562,9086
Baise,Guangxi,2019,31.6096,42.63172027,71.48,96.40334711,39.75793,40.85004,19.6292,125.778,9,34194,10.992,3.795,32784,NA,9.40106,47.89331,5.10372,54.28877169,5.66645,8.36362,NA,NA,0.116517046,NA,4.24883,3.26028,4.013,4.007,451000,450000,4123.251,10991.62
Baise,Guangxi,2020,34.1582,48.72140371,73.92,105.4111995,45.55778,46.37,18.8333,133.373,6.3,37332,15.361,NA,33964,43.348,9.4456,50.15364,4.88235,51.68914627,7.89171,13.10769,NA,NA,0.794755482,NA,3.21389,0.39157,NA,NA,451000,450000,4433.672,15361
Baise,Guangxi,2021,31.4654,46.6140865,91.8076,136.0073231,49.36014,50.684,23.8244,156.871,9.8,43892,18.986,6.608,36375,55.251,10.29824,43.2256,5.38106,52.25222951,7.80656,13.12359,NA,NA,0.079743874,NA,1.837,0.49339,4.277,2.979,451000,450000,4714.102,18986
Baishan,Jilin,2016,NA,NA,NA,NA,NA,NA,26.2995,69.66243,7.3,56411,1.35986,0.321,21270,41.11,4.70252,17.88066,3.17872,67.59609741,0.75577,0.95821,NA,NA,NA,NA,4.61912,4.58932,NA,NA,220600,220000,2353.657,1359.86
Baishan,Jilin,2017,5.2677,5.267694955,129.02,48.26217312,3.477,NA,14.4628,66.0061,4,54750,1.17252,0.25521,22674,37.765,2.695,18.634,2.015,74.76808905,0.626,0.677,NA,NA,NA,NA,NA,NA,NA,NA,220600,220000,2918.803,1172.52
Baishan,Jilin,2018,NA,NA,NA,NA,NA,NA,11.8616,66.171,4,55694,0.75415,0.25,23694,NA,2.2724,19.15758,1.54179,67.84853019,0.58278,1.15927,NA,NA,NA,NA,2.99143,2.32028,0.55781,0.513,220600,220000,3048.845,754.15
Baishan,Jilin,2019,NA,NA,NA,NA,NA,NA,11.8379,50.96629,3.8,43465,1.26551,0.3,25648,NA,2.375,20.06272,1.37742,57.99663158,0.83126,2.62051,NA,NA,NA,NA,4.61912,4.26212,1.74,NA,220600,220000,3015.072,1265.51
Baishan,Jilin,2020,25.62,25.61520965,467.12,115.8362509,13.049,15.036,11.5468,50.94239,0.1,44021,1.53567,0.15,26736,NA,2.344,20.3,1.275,54.39419795,0.45,2.925,NA,NA,NA,NA,NA,NA,NA,NA,220600,220000,3028.833,1535.67
Baishan,Jilin,2021,28.4564,28.45638407,603.61,603.700627,15.40644,16.87381,17.4591,54.14054,6.4,57948,1.80303,0.177,28465,NA,2.552,14.617,1.527,59.8354232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220600,220000,NA,NA
