Region,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),Province
Handan,27.36,43.077042753855,334.8,527.099523989527,118.92,139.204,42.06,Hebei
Langfang,26.91,29.927181810877062,280.95,312.44328348556365,95.943,103.693,56.46,Hebei
Tangshan,25.27,40.11591322650016,414.5,657.9320229502671,224.948,253.326,57.84,Hebei
Cangzhou,18.37,44.3618691724215,172.03,415.4528764163732,80.61,87.063,44.7,Hebei
Heilongjiang,45.8518,54.584423862513056,NA,586.9662026359777,729.0899999999999,741.0600000000001,23.672,Heilongjiang
Qitaihe,83.75,83.74860542952771,801.43,801.4234875444838,22.52,22.571,27.36,Heilongjiang
Yichun,61.72,61.71620046620047,957.97,957.9828132066938,21.181,21.554,9.77,Heilongjiang
Harbin,52.81,59.16390671790314,914.07,1024.0093451196722,289.948,295.242,24.61,Heilongjiang
Shuangyashan,51.59,67.3889875666188,538.32,703.1674882419476,28.746,29.036,21.99,Heilongjiang
Jiamusi,49.13,49.131385181776345,583.77,583.7206123564789,42.705,43.066,17.34,Heilongjiang
Mudanjiang,48.9,68.03176674671059,550,765.2127154001215,45.264,45.968,23.23,Heilongjiang
Hegang,39.65,39.64809384164224,NA,NA,16.224,16.384,NA,Heilongjiang
Suihua,38.76,39.75168405611017,655.78,672.4492421078015,47.994,48.732,12.89,Heilongjiang
Jixi,33.79,53.899892771806826,378.16,603.1525037949494,22.463,23.115,20.4,Heilongjiang
Qiqihar,33.66,58.27538734155537,386.41,668.9336397506531,44.365,44.749,17.15,Heilongjiang
Heihe,31.11,31.1102696152681,394.63,394.60134486071087,20.539,20.782,17.24,Heilongjiang
Da Hinggan Ling,25.46,25.464285714285715,302.76,302.76008492569,4.2780000000000005,4.394,11.93,Heilongjiang
Daqing,11.36,21.545951263083047,74.46,141.22961342468307,33.948,34.695,49.76,Heilongjiang
Henan,24.6211,57.56899627784834,NA,538.4562421081038,1510.38,1643.4,40.0353,Henan
Hebi,33.45,45.091070950516695,267.87,361.0938887808159,37.032,39.246,40.1,Henan
Puyang,28.69,42.31996949456744,292.1,430.86832242615446,54.209,57.052,36.43,Henan
Xinyang,26.36,30.936414444379785,329.94,387.23280179972585,84.249,89.965,21.34,Henan
Shangqiu,24.97,50.871098835889526,254.22,517.866198907582,81.476,84.275,38.81,Henan
Anyang,24.75,31.415841577417304,279.03,354.1860498457499,62.17100000000001,64.959,51.84,Henan
