Region,Province,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),Statistical_Division_Code,Province.Code
Jiaozuo,Henan,21.08,36.46068414605016,203.73,352.4748354713414,47.099,50.075,59.43,410800,410000
Jiaxing,Zhejiang,24.13,152.4620431472539,81.7,516.2823604990227,162.60899999999998,162.64,72.06,330400,330000
Jiayuguan,Gansu,NA,NA,NA,NA,NA,NA,59.32,620200,620000
Jieyang,Guangdong,19.38,19.378707463135456,90.2273,90.22725639340725,43.81487,43.88639,19.0565,445200,440000
Jinchang,Gansu,18.76,18.757176758784357,209.56,209.51261222744765,9.801,10.984,37.18,620300,620000
Jincheng,Shanxi,NA,NA,NA,NA,NA,NA,73.18,140500,140000
Jing'an,Shanghai,NA,NA,92.97,226.63706108484524,41.966,62.78,86.06,310106,310000
Jingdezhen,Jiangxi,39.253,150.80159143413383,145.96,560.7481291938489,46.797,48.975,37.9792,360200,360000
Jinghai,Tianjin,NA,NA,816.53,970.0091362861132,52.620000000000005,52.73,53.8,120118,120000
Jingmen,Hubei,NA,NA,220.88,905.595402314225,39.01258967,41.18002,34.151,420800,420000
Jingzhou,Hubei,23.5,55.01103391158709,245.49,597.5576835807952,36.60814,39.29079,31.3734,421000,420000
Jinhua,Zhejiang,24.8,114.13242549849798,73.64,338.9326803351806,137.94,137.951,58.91,330700,330000
Jining,Shandong,28.4752,66.49145022427919,338.23,397.0875453215949,151.4,153.97,59.9321,370800,370000
Jinnan,Tianjin,102.26,169.98709253655355,1161.61,1930.8878665409736,57.268,57.475,NA,120112,120000
Jinshan,Shanghai,NA,44.57392390861917,271.08,298.29995036295054,45.276,45.4,45.83,310116,310000
Jinzhong,Shanxi,NA,NA,NA,NA,NA,NA,45.21,140700,140000
Jinzhou,Liaoning,36.46,59.171385076916025,329.81,535.3177252648497,43.809,49.396,41.38,210700,210000
Jiujiang,Jiangxi,28.7968,62.09464956702677,253.43,543.4260290080199,115.953,129.981,45.9753,360400,360000
Jiulongpo,Chongqing,15.37,120.87837573034795,212.42,1671.2823490029002,27.103,27.12,58.86,500107,500000
Jiuquan,Gansu,NA,NA,NA,NA,NA,NA,20.34,620900,620000
Jixi,Heilongjiang,33.79,53.899892771806826,378.16,603.1525037949494,22.463,23.115,20.4,230300,230000
Jiyuan,Henan,15.91,38.9723657245789,191.85,470.08229644628966,12.823,14.068,79.36,419001,410000
Jizhou,Tianjin,102.49,318.7279684206852,1393.78,4334.483126531159,28.628,29.522,22.13,120119,120000
Kaifeng,Henan,23.47,69.63847724788963,176.55,523.9172497880401,62.354,66.079,43.44,410200,410000
